text,label,dataset
#IndiaFightsCorona: The cumulative testing as on date has reached 37651512. 823992 tests were conducted in the last 24 hours. Such high level of testing on a sustained basis leads to early diagnosis. Details : https://t.co/xI1Zl0U7ZH @MoHFW_INDIA @ICMRDELHI #StaySafe,real,constraint
"##[Sorrow!#38 -year -old Hangzhou Police sacrificed on the front line of the war#] On the afternoon of March 9th, Wang Yimin, the deputy leader of the Legal Brigade of the Shangcheng District Branch of the Hangzhou Public Security Bureau of Zhejiang Province, suddenly did not suitable for medical treatment during the anti -epidemic.He died in the early morning of the 10th at the age of 38.Repostering and farewell, heroes go all the way!@中国 网",real,checked
"[#【【【【【【【【【#] June 18th to 24:00,#【【【【【【【【#【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【【is diagnosed.As of 24:00 on June 18, there were 183 cases in Beijing.There are 15 asymptoms who are still observing.Come on together, come on in Beijing!",real,checked
A female doctor in Uttar Pradesh died after being injured during stone pelting by local Muslims who refused to be screened for COVID-19.,fake,constraint
You can read more details on nationwide trends and our newest project the Long-Term Care COVID Tracker in our weekly post: https://t.co/zPI5wX1KB2,real,constraint
"[#【【【【【【【【#] According to the real -time monitoring system of the global new crown pneumonia epidemic at Johns Hopkins University, as of 5:28 pm on August 25, Eastern time, a total of new crown virus infection in the United StatesThere were 576,9024 cases, including 17,8140 cases of death.The United States Cable Television News Network reported that as students returned to school,#美国 美国 At least 24 states reported new crown cases from universities#.(People's Daily reporter Zheng Qi)",real,checked
An oncologist faces his daughter's disregard for social distancing amid the COVID-19 pandemic. https://t.co/y7vhlk1yC5 https://t.co/aEmlEH6qGs,real,constraint
Our daily update is published. States reported 881k tests 200k more than yesterday. Texas alone reported 124k tests. States also reported 52k cases and 1163 deaths. https://t.co/7602tY9XlU,real,constraint
"If you paid rent in March or April, ???they got to give??� you your money back.",fake,constraint
Chinese President Xi Jinping visited a mosque amid the coronavirus outbreak and asked the people of the Muslim community to pray about present crisis.,fake,constraint
The US now sees close to 1000 coronavirus deaths a day. https://t.co/hdtHIDEv0i via @webmd,real,constraint
The hospitalization rates for #COVID19 in older people right now are similar to what is typically seen during a high severity flu season. Learn more: https://t.co/zP4VYlo0Pb.,real,constraint
Ok seriously - what are Reff and R0? The R0 metric (pronounced “R-naught”) is the rate of COVID growth *before* public health interventions. The R-effective metric is the rate of COVID growth *after* protective measures were implemented (stay at home closing schools etc).,real,constraint
#CoronaVirusUpdates: State-wise details of Total Confirmed #COVID19 cases (till 17 September 2020 8 AM) ➡️States with 1-20000 confirmed cases ➡️States with 20001-115000 confirmed cases ➡️States with 115000+ confirmed cases ➡️Total no. of confirmed cases so far https://t.co/pOXNkizo3R,real,constraint
"Groceries, chemist and vegetable shops will remain open only during specific hours as India observes complete lockdown. The message that went viral soon after states declared complete lockdown in the country said that essential item shops such as chemist, medicines, grocery, etc., will be open only during 9:00-11:30 am and 4:30-7:00 pm.",fake,constraint
“(Former U.S. President Barack Obama) set up anti-pandemic programs in 47 vulnerable countries as a way to protect against something like the coronavirus. Do you know that Trump closed 37 of them?”,fake,constraint
Our updates is published. States reported a record number of tests (831k) and cases (71k). At 977 the reported death count is the highest since May 29. Patients hospitalized with COVID-19 rose to a level we haven’t seen since April 23. https://t.co/wiybSfnetX,real,constraint
As Kalonji (Nigella) seeds have 100 per cent of Hydroxychloroquine taking them can prevent COVID-19.,fake,constraint
